	Crofts_Innoc_Region_Count	Crofts_Innoc_has_Wildtype	Crofts_Primary_w_Region	Crofts_Primary_w_Wildtype	Crofts_Primary_wo_Region	Crofts_Primary_wo_Wildtype	Crofts_Relapse_w_Region	Crofts_Relapse_w_Wildtype	Crofts_Relapse_wo_Region	Crofts_Relapse_wo_Wildtype	Iquitos_Primary_w_Region	Iquitos_Primary_w_Wildtype	Iquitos_Primary_wo_Region	Iquitos_Primary_wo_Wildtype	Iquitos_Relapse_w_Region	Iquitos_Relapse_w_Wildtype	Iquitos_Relapse_wo_Region	Iquitos_Relapse_wo_Wildtype	Ref_Full_Region_Count	Ref_Full_has_Wildtype	Ref_Sim_Region_Count	Ref_Sim_has_Wildtype
23	True	True	15	15	0	0	6	6	0	0	2	3	4	3	5	1	1	5	True	True	True	True
24	True	False	15	0	0	15	6	0	0	6	5	0	1	6	5	0	1	6	True	False	True	False
25	True	True	15	14	0	1	6	6	0	0	3	1	3	5	4	1	2	5	True	True	True	True
26	True	False	15	1	0	14	6	0	0	6	5	0	1	6	4	1	2	5	True	True	True	True
27	True	False	15	15	0	0	6	6	0	0	5	3	1	3	5	4	1	2	True	True	True	True
28	True	True	15	15	0	0	6	6	0	0	4	0	2	6	4	1	2	5	True	True	True	True
29	True	False	15	0	0	15	6	0	0	6	1	0	5	6	0	0	6	6	True	False	True	False
30	True	True	15	15	0	0	6	6	0	0	0	0	6	6	0	0	6	6	True	True	True	True
31	True	False	15	0	0	15	6	0	0	6	1	0	5	6	0	0	6	6	True	False	True	False
32	True	True	15	15	0	0	6	6	0	0	1	1	5	5	0	1	6	5	True	True	True	True
33	True	True	15	15	0	0	6	6	0	0	6	1	0	5	6	1	0	5	True	True	True	True
34	True	True	15	15	0	0	6	6	0	0	6	1	0	5	6	1	0	5	True	True	True	True
35	True	True	15	15	0	0	6	6	0	0	6	1	0	5	6	1	0	5	True	True	True	True
36	True	True	15	15	0	0	6	6	0	0	6	1	0	5	6	1	0	5	True	True	True	True
37	True	False	15	0	0	15	6	0	0	6	5	0	1	6	6	0	0	6	True	True	True	True
38	True	False	15	0	0	15	6	0	0	6	5	0	1	6	6	0	0	6	True	True	True	True
39	True	False	15	0	0	15	6	0	0	6	4	0	2	6	4	0	2	6	True	False	True	False
40	True	True	15	15	0	0	6	6	0	0	5	0	1	6	5	1	1	5	True	True	True	True
41	True	False	15	0	0	15	6	0	0	6	4	0	2	6	4	0	2	6	True	False	True	False
42	True	True	15	15	0	0	6	6	0	0	5	0	1	6	5	1	1	5	True	True	True	True
43	True	True	15	15	0	0	6	6	0	0	3	0	3	6	3	0	3	6	True	True	True	True
44	True	True	15	15	0	0	6	6	0	0	3	0	3	6	3	0	3	6	True	True	True	True
45	True	False	15	0	0	15	6	0	0	6	4	0	2	6	2	1	4	5	True	True	True	True
46	True	False	15	0	0	15	6	0	0	6	4	0	2	6	2	1	4	5	True	True	True	True
47	True	False	15	0	0	15	6	0	0	6	4	0	2	6	2	0	4	6	True	True	True	True
48	True	True	15	15	0	0	6	6	0	0	5	1	1	5	4	2	2	4	True	True	True	True
49	True	True	15	15	0	0	6	6	0	0	5	1	1	5	4	2	2	4	True	True	True	True
50	True	True	15	15	0	0	6	6	0	0	6	2	0	4	6	3	0	3	True	True	True	True
51	True	True	15	15	0	0	6	6	0	0	6	2	0	4	6	3	0	3	True	True	True	True
52	True	True	15	15	0	0	6	6	0	0	4	4	2	2	4	4	2	2	True	True	True	True
53	True	True	15	15	0	0	6	6	0	0	4	4	2	2	4	4	2	2	True	True	True	True
54	True	True	15	15	0	0	6	6	0	0	3	2	3	4	3	2	3	4	True	True	True	True
55	True	True	15	15	0	0	6	6	0	0	0	1	6	5	0	0	6	6	True	True	True	True
56	True	True	15	15	0	0	6	6	0	0	0	1	6	5	0	0	6	6	True	True	True	True
57	True	True	15	15	0	0	6	6	0	0	0	1	6	5	0	2	6	4	True	True	True	True
58	True	True	15	15	0	0	6	6	0	0	0	1	6	5	0	2	6	4	True	True	True	True
59	True	True	15	15	0	0	6	6	0	0	0	1	6	5	0	2	6	4	True	True	True	True
60	True	True	15	15	0	0	6	6	0	0	0	1	6	5	0	2	6	4	True	True	True	True
61	True	False	15	10	0	5	6	6	0	0	6	4	0	2	6	2	0	4	True	True	True	True
62	True	True	15	15	0	0	6	6	0	0	5	4	1	2	5	4	1	2	True	True	True	True
63	True	False	15	0	0	15	6	0	0	6	5	0	1	6	5	0	1	6	True	True	True	True
64	True	False	15	0	0	15	6	0	0	6	5	0	1	6	4	0	2	6	True	True	True	True
65	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
66	True	False	15	0	0	15	6	0	0	6	5	0	1	6	4	0	2	6	True	False	True	False
67	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
68	True	False	15	0	0	15	6	0	0	6	5	0	1	6	5	0	1	6	True	False	True	False
69	True	False	15	0	0	15	6	0	0	6	6	0	0	6	5	0	1	6	True	False	True	False
70	True	False	15	0	0	15	6	0	0	6	5	0	1	6	5	0	1	6	True	False	True	False
71	True	False	15	0	0	15	6	0	0	6	6	0	0	6	5	0	1	6	True	False	True	False
72	True	False	15	0	0	15	6	0	0	6	5	0	1	6	5	0	1	6	True	False	True	False
73	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
74	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
75	True	False	15	0	0	15	6	0	0	6	5	0	1	6	5	0	1	6	True	False	True	False
76	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
77	True	False	15	0	0	15	6	0	0	6	5	0	1	6	5	0	1	6	True	False	True	False
78	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
79	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
80	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
81	True	False	15	0	0	15	6	0	0	6	6	0	0	6	5	0	1	6	True	False	True	False
82	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
83	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
84	True	False	15	0	0	15	6	0	0	6	6	0	0	6	6	0	0	6	True	False	True	False
